Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
22-May-15,12,12,11.61,11.73,11.7511241,22240,67,261345,18090,81.34,0.39,-0.27
21-May-15,11.85,12.2,11.85,12,12.07017822,12625,37,152386,12525,99.21,0.35,0.15
20-May-15,12.33,12.33,12.12,12.18,12.21655947,18346,37,224125,15309,83.45,0.21,-0.15
19-May-15,12.25,12.4,12.23,12.24,12.29576988,26595,70,327006,23409,88.02,0.17,-0.01
18-May-15,12.6,12.65,12.41,12.5,12.5061011,17210,72,215230,14455,83.99,0.24,-0.1
15-May-15,12.36,12.8,12.3,12.47,12.54756833,33331,75,418223,27646,82.94,0.5,0.11
14-May-15,12.4,12.7,12.12,12.6,12.32158962,41469,92,510964,33090,79.79,0.58,0.2
13-May-15,12.61,12.65,12.25,12.6,12.48898353,28412,86,354837,18138,63.84,0.4,-0.01
12-May-15,12.75,12.8,12.5,12.69,12.60494142,31408,73,395896,25760,82.02,0.3,-0.06
11-May-15,12.99,13,12.7,12.89,12.84355493,12816,46,164603,6951,54.24,0.3,-0.1
8-May-15,12.75,12.98,12.62,12.78,12.80189573,26375,122,337650,18271,69.27,0.36,0.03
7-May-15,12.94,13.25,12.51,12.73,12.81375524,63932,227,819209,46203,72.27,0.74,-0.21
6-May-15,12.75,13.14,12.52,12.94,12.84801364,47524,249,610589,35920,75.58,0.62,0.19
5-May-15,12.5,13.24,12.5,12.99,12.99246819,41026,164,533029,30688,74.8,0.74,0.49
4-May-15,13.35,13.35,12.63,12.7,12.80923733,26263,156,336409,21404,81.5,0.72,-0.65
30-Apr-15,12.71,13.24,12.5,12.85,12.65585633,57075,199,722333,35752,62.64,0.74,0.14
29-Apr-15,14,14,12.76,13.03,12.95187258,51987,217,673329,38528,74.11,1.24,-0.97
28-Apr-15,12.52,13.75,12.45,13.47,13.22704087,87438,431,1156546,65800,75.25,1.3,0.95
27-Apr-15,13.31,13.36,12.7,12.71,12.92038217,24806,190,320503,22092,89.06,0.66,-0.6
24-Apr-15,13.5,13.55,13.15,13.39,13.39520094,59595,292,798287,44832,75.23,0.4,-0.11
23-Apr-15,13.75,13.89,13.4,13.45,13.56042885,53352,260,723476,35400,66.35,0.49,-0.3
22-Apr-15,14.45,14.45,13.56,13.78,13.90482875,71240,263,990580,55764,78.28,0.89,-0.67
21-Apr-15,13.2,14.58,13.2,14.45,14.18432958,99908,537,1417128,75376,75.45,1.38,1.25
20-Apr-15,15.4,15.47,13.5,13.83,14.50184751,208659,680,3025941,177830,85.23,1.97,-1.57
17-Apr-15,12.95,15.3,12.95,14.64,14.36666539,442957,1760,6363815,324751,73.31,2.35,1.69
16-Apr-15,12.74,14,12.5,13.17,13.20415891,273870,780,3616223,230361,84.11,1.5,0.43
15-Apr-15,12.16,12.5,12.12,12.25,12.23659846,114595,202,1402253,112810,98.44,0.38,0.09
13-Apr-15,12.45,12.75,12.07,12.16,12.23290748,79684,223,974767,71434,89.65,0.68,-0.29
10-Apr-15,12.74,12.75,12.02,12.19,12.1992001,112264,233,1369531,107089,95.39,0.73,-0.55
9-Apr-15,12.25,12.5,12,12.33,12.28542544,47480,205,583312,36974,77.87,0.5,0.08
